JD,Flx(V),E_flx,Q/I,E_Q/I,U/I,E_U/I,V-J,E_V-J
4714.13,1.67E-11,2.24E-14,-0.0442,0.0019,0.0269,0.0039,2.149,0.003
4715.16,1.78E-11,8.84E-14,-0.0603,0.0047,0.0374,0.0057,2.178,0.016
4716.06,1.94E-11,2.50E-13,-0.0666,0.0329,0.0007,0.007,2.167,0.027
4717.15,1.92E-11,1.55E-13,-0.0234,0.0213,0.0282,0.0078,2.237,0.012
4718.13,2.11E-11,2.92E-14,-0.0576,0.0047,0.0196,0.005,2.238,0.005
4719.13,2.67E-11,2.62E-14,-0.093,0.0043,0.0495,0.0058,2.192,0.006
4720.15,2.64E-11,5.52E-14,-0.0729,0.0065,0.0415,0.0041,2.252,0.004
4729.13,2.08E-11,5.62E-14,0.033,0.0043,0.0305,0.0045,2.154,0.004
4731.21,2.33E-11,1.04E-13,0.113,0.0094,-0.0134,0.0019,2.19,0.006
4732.12,2.23E-11,2.12E-14,0.0675,0.0028,-0.0246,0.0004,2.203,0.003
4742.15,2.07E-11,5.22E-14,-0.0336,0.0079,0.0031,0.0048,2.019,0.003
4743.11,2.11E-11,5.45E-14,-0.0216,0.0087,-0.0075,0.0104,2.026,0.005
4744.02,2.14E-11,3.56E-14,-0.0407,0.009,0.0174,0.0077,1.924,0.008
4747.16,2.15E-11,6.77E-14,-0.0178,0.0113,-0.0172,0.0027,1.979,0.007
4748.16,2.49E-11,1.17E-13,-0.0418,0.0111,0.0317,0.011,1.989,0.009
4749.19,3.11E-11,9.90E-14,-0.0353,0.0138,0.0069,0.0287,1.93,0.006
4751.12,2.14E-11,1.42E-13,-0.0564,0.0409,0.0439,0.0197,1.996,0.01
4752.15,2.13E-11,5.51E-14,-0.0179,0.01,0.0001,0.0123,1.953,0.004
4755.13,1.95E-11,5.13E-14,0.0077,0.0172,-0.0032,0.0086,1.918,0.005
4756.06,1.86E-11,5.53E-14,-0.043,0.0039,0.0029,0.0045,1.888,0.005
4757.11,1.70E-11,9.72E-14,-0.0376,0.0086,-0.0025,0.0035,1.875,0.009
4758.05,1.60E-11,4.14E-14,-0.0514,0.0058,-0.0101,0.0049,1.857,0.005
4759.03,1.47E-11,4.74E-14,-0.0488,0.0042,0.0042,0.003,1.88,0.007
4760.09,1.36E-11,3.85E-14,-0.0293,0.0043,-0.0213,0.0067,1.882,0.004
4767.11,1.16E-11,3.71E-14,-0.0079,0.0076,-0.048,0.0083,1.862,0.006
4770.01,1.26E-11,3.33E-14,-0.005,0.0012,-0.0238,0.0104,1.826,0.007
4775.07,1.05E-11,4.55E-14,-0.0217,0.0081,0.0143,0.0118,1.727,0.008
4776,1.02E-11,3.98E-14,-0.016,0.0132,-0.0017,0.0077,1.647,0.021
4781.99,9.77E-12,7.02E-14,-0.0481,0.0099,-0.0269,0.0259,1.602,0.01
4783,1.09E-11,5.53E-14,-0.0343,0.0038,-0.0074,0.0256,1.77,0.007
4784.04,1.05E-11,5.85E-14,-0.0139,0.0101,0.0246,0.0077,1.723,0.009
4785.02,1.17E-11,8.18E-14,-0.0463,0.0181,-0.0153,0.0117,1.699,0.011
4789.03,9.17E-12,4.23E-14,-0.0188,0.0109,-0.0062,0.0078,1.735,0.008
4790.08,9.16E-12,4.93E-14,0.0119,0.0139,0.0239,0.007,1.782,0.007
4791.02,1.00E-11,3.64E-14,0.0504,0.0037,0.0137,0.004,1.772,0.006
4792.95,1.12E-11,2.09E-14,-0.0039,0.0049,-0.0129,0.005,1.814,0.005
4794.03,9.66E-12,2.28E-14,0.0262,0.0068,0.0045,0.0048,1.713,0.004
4795.12,9.61E-12,8.07E-14,-0.024,0.037,0.0148,0.0188,1.558,0.018
4803.04,8.82E-12,3.29E-14,0.01,0.0075,0.0291,0.0068,1.627,0.01
4803.96,8.24E-12,3.27E-14,0.0095,0.0037,0.0038,0.0129,1.637,0.006
4807.05,7.56E-12,1.61E-13,0.0091,0.0609,0.0146,0.0333,2.088,0.087
4807.98,8.46E-12,6.24E-14,-0.01,0.0245,0.0294,0.0275,1.739,0.01
4810.9,8.76E-12,5.28E-14,0.0158,0.0155,0.0256,0.0121,1.673,0.013
4811.93,8.03E-12,3.47E-14,0.0075,0.0249,0.0197,0.0087,1.482,0.009
4816.96,7.87E-12,6.15E-14,0.0085,0.012,0.0051,0.0038,1.532,0.01
4817.95,7.82E-12,4.55E-14,-0.0077,0.0082,0.0526,0.0138,1.491,0.021
4818.94,7.82E-12,3.25E-14,-0.004,0.0484,0.0352,0.0287,1.525,0.019
4819.95,8.40E-12,2.71E-14,0.0258,0.0101,-0.0161,0.0075,1.541,0.007
4822.97,8.84E-12,3.03E-14,0.0214,0.0311,0.035,0.0148,1.654,0.01
4827.98,8.84E-12,4.72E-14,0.0185,0.0134,0.0188,0.0053,1.563,0.01
4830.01,8.00E-12,1.62E-13,-0.0149,0.0122,-0.0196,0.0421,1.586,0.023
4834.95,1.10E-11,5.29E-14,-0.0458,0.0034,0.0075,0.0072,1.659,0.018
4836.93,1.03E-11,4.85E-14,0.0073,0.0076,0.0137,0.0056,1.714,0.007
4948.31,1.15E-11,1.50E-13,-0.0642,0.0221,-0.0659,0.0127,1.342,0.06
4952.3,1.11E-11,7.39E-14,-0.0804,0.0199,-0.0675,0.0084,1.466,0.017
4953.31,9.62E-12,9.80E-14,-0.0391,0.0069,-0.0565,0.0347,1.411,0.022
4960.3,1.23E-11,8.54E-14,0.0151,0.0251,-0.0051,0.0082,1.561,0.019
4962.3,1.97E-11,1.20E-13,0.0346,0.0189,-0.0172,0.0122,1.569,0.014
4963.3,1.78E-11,2.79E-13,0.0334,0.0109,-0.0323,0.0052,1.636,0.024
4965.3,1.39E-11,1.06E-13,-0.0102,0.0355,0.0723,0.0171,1.578,0.03
4966.27,1.24E-11,1.22E-13,-0.0108,0.0066,-0.0116,0.0125,1.861,0.023
4971.28,1.36E-11,6.10E-14,-0.0028,0.0025,-0.0468,0.0094,1.649,0.008
4982.28,1.13E-11,5.48E-14,-0.0204,0.0085,-0.0017,0.0159,1.622,0.009
4984.28,1.17E-11,2.80E-14,-0.0289,0.0058,0.0415,0.0112,1.6,0.015
4989.27,1.06E-11,3.72E-14,-0.0034,0.0134,-0.0247,0.0097,1.431,0.007
4990.25,1.10E-11,5.20E-14,0.0331,0.01,-0.0185,0.0084,1.516,0.016
4998.21,1.06E-11,8.17E-14,-0.0032,0.0389,-0.0024,0.0172,1.643,0.018
5001.28,1.36E-11,1.20E-13,-0.0641,0.0073,0.012,0.0054,1.827,0.012
5002.25,1.38E-11,1.06E-13,-0.0984,0.0117,-0.01,0.0286,1.752,0.036
5008.21,9.57E-12,2.15E-14,-0.0062,0.0051,-0.0007,0.0055,1.49,0.009
5009.27,1.05E-11,5.46E-14,-0.0374,0.0113,-0.0091,0.006,1.544,0.021
5017.19,1.46E-11,4.18E-14,0.0115,0.0005,-0.0459,0.0117,1.599,0.01
5019.24,1.04E-11,5.10E-14,-0.0501,0.0147,0.0301,0.0172,1.456,0.016
5027.29,9.54E-12,9.64E-14,0.0361,0.0238,-0.0032,0.0054,1.395,0.052
5035.14,9.42E-12,2.51E-14,0.0291,0.004,-0.007,0.0066,1.601,0.026
5042.18,1.21E-11,6.12E-14,0.0093,0.0047,-0.0317,0.0056,1.521,0.025
5048.23,1.23E-11,6.11E-14,0.0691,0.035,-0.0316,0.0308,1.657,0.023
5055.27,1.41E-11,2.23E-13,-0.0185,0.0257,0.016,0.0422,1.841,0.021
5057.24,1.76E-11,2.47E-14,-0.0482,0.0047,-0.0187,0.0088,1.84,0.008
5058.18,1.48E-11,1.23E-13,-0.0067,0.0323,-0.054,0.0333,1.843,0.02
5059.21,1.39E-11,6.07E-14,-0.0236,0.0267,-0.0452,0.0222,1.809,0.018
5060.23,1.73E-11,2.13E-14,-0.0414,0.0031,-0.0099,0.0012,1.831,0.008
5061.16,1.81E-11,4.97E-14,-0.0233,0.0002,0.014,0.0043,1.871,0.01
5062.2,2.15E-11,6.43E-14,-0.0511,0.0042,-0.0482,0.0075,1.984,0.009
5063.1,2.06E-11,4.43E-14,0.0023,0.0086,-0.0409,0.0088,1.897,0.007
5066.08,3.09E-11,1.04E-13,-0.0588,0.0056,0.0244,0.0046,2.067,0.006
5068.14,3.12E-11,8.08E-14,0.0652,0.0094,0.0545,0.0057,2.105,0.008
5069.1,3.62E-11,5.44E-14,0.0073,0.0029,-0.0153,0.0012,2.065,0.003
5074.04,2.39E-11,1.03E-13,-0.0078,0.0037,0.0494,0.0044,2.036,0.005
5075.16,2.38E-11,1.21E-13,-0.0144,0.0482,0.0293,0.0103,2.028,0.006
5076.16,2.39E-11,2.99E-14,-0.0401,0.0102,0.009,0.0021,2.082,0.002
5077.12,2.77E-11,2.88E-13,-0.01,0.0114,-0.0681,0.0376,2.03,0.019
5078.13,2.89E-11,4.40E-13,-0.0182,0.0017,0.0018,0.0217,1.982,0.024
5079.15,2.24E-11,3.44E-13,-0.0016,0.0059,-0.0003,0.0102,2.338,0.118
5080.16,2.25E-11,2.59E-13,0.0454,0.0063,0.0025,0.0164,2.016,0.013
5081.13,2.22E-11,1.26E-13,0.0117,0.012,-0.0015,0.0141,2.375,0.008
5082.15,2.05E-11,1.28E-13,0.0505,0.0055,-0.0319,0.0172,2.105,0.008
5083.1,1.96E-11,3.88E-14,0.0461,0.0039,-0.0676,0.0029,2.048,0.01
5084.15,2.24E-11,3.66E-14,0.0476,0.0032,-0.0728,0.0027,2.066,0.004
5085.08,2.78E-11,5.25E-14,0.0441,0.0086,-0.1075,0.0059,2.192,0.003
5087.98,3.05E-11,5.61E-14,0.0291,0.0021,-0.0306,0.0042,2.15,0.004
5092.09,3.82E-11,1.91E-13,0.0412,0.0029,-0.0843,0.0036,2.036,0.006
5094.05,2.20E-11,3.76E-14,0.0181,0.005,-0.0163,0.009,2.046,0.004
5097.98,2.19E-11,1.01E-13,0.0477,0.0009,-0.0372,0.0205,2.062,0.011
5099.21,2.12E-11,1.74E-13,0.0522,0.0199,0.0074,0.0102,2.068,0.03
5101.09,2.39E-11,3.49E-14,0.0204,0.0047,-0.0403,0.0047,2.081,0.005
5108.13,2.95E-11,1.62E-13,0.0828,0.004,-0.0091,0.0035,2.185,0.007
5109.09,2.76E-11,1.07E-13,0.0924,0.0089,-0.0433,0.0049,2.204,0.008
5112.99,2.34E-11,4.82E-14,0.0935,0.0051,-0.0421,0.0177,2.209,0.005
5114.06,2.26E-11,7.20E-14,0.0624,0.0057,0.0054,0.0094,2.207,0.006
5115,2.53E-11,9.26E-14,0.0331,0.0035,-0.0275,0.0033,2.219,0.008
5116.03,2.28E-11,7.56E-14,0.03,0.0042,-0.0392,0.0053,2.124,0.006
5117.05,2.01E-11,3.89E-14,0.0664,0.0033,-0.026,0.0003,2.119,0.009
5119.06,1.86E-11,4.49E-14,0.0535,0.0072,-0.0031,0.004,2.141,0.012
5120.01,1.84E-11,1.50E-14,0.0501,0.0014,-0.0212,0.0052,2.103,0.009
5122.04,2.17E-11,3.92E-14,0.0704,0.0076,-0.0639,0.0079,2.22,0.004
5123.08,2.07E-11,6.35E-14,0.0814,0.0036,-0.0663,0.0055,2.169,0.006
5124.18,2.08E-11,8.59E-14,0.0785,0.0129,-0.0865,0.0208,2.171,0.011
5125.01,2.28E-11,3.45E-14,0.0854,0.0044,-0.1013,0.0077,2.213,0.003
5126,2.03E-11,3.43E-14,0.0554,0.0055,-0.0778,0.0018,2.192,0.005
5127.08,2.52E-11,5.15E-14,0.0421,0.0015,-0.1373,0.01,2.221,0.004
5130.98,2.04E-11,5.84E-14,0.0749,0.0038,0.0209,0.0074,2.189,0.004
5131.97,1.67E-11,3.69E-14,0.0454,0.0024,-0.014,0.0098,2.16,0.005
5132.98,1.90E-11,4.84E-14,0.0693,0.0066,-0.0306,0.0051,2.121,0.007
5133.96,1.86E-11,5.00E-14,0.0686,0.0145,-0.0154,0.0136,2.172,0.005
5135.03,1.69E-11,4.35E-14,0.0581,0.0041,-0.0275,0.0177,2.063,0.008
5135.98,1.88E-11,4.35E-13,0.0581,0.0376,0.0345,0.0222,2.079,0.036
5138.98,1.46E-11,3.44E-14,0.0245,0.0154,-0.0249,0.0083,2.046,0.007
5139.96,1.44E-11,5.16E-14,0.0245,0.0137,-0.0313,0.0032,1.983,0.006
5140.97,1.35E-11,3.22E-14,0.0249,0.0103,-0.0224,0.0088,1.905,0.008
5141.94,1.30E-11,1.28E-14,0.0163,0.0105,-0.0486,0.0076,1.901,0.02
5150.98,1.96E-11,4.10E-14,-0.0055,0.0008,-0.0575,0.0082,2.016,0.006
5159.01,1.66E-11,3.70E-14,0.0678,0.0094,-0.023,0.0054,1.871,0.008
5161.95,3.93E-11,6.39E-14,0.0392,0.0039,0.0171,0.0031,2.047,0.005
5163.97,4.62E-11,1.63E-13,0.0908,0.0017,0.0644,0.0051,1.905,0.004
5165.91,3.73E-11,8.24E-14,0.0807,0.006,0.0792,0.0055,1.883,0.138
5167.91,6.51E-11,8.68E-14,0.0248,0.0016,0.0551,0.0014,2.005,0.007
5169.95,5.32E-11,8.12E-14,0.013,0.005,0.0147,0.0065,2.126,0.007
5170.9,6.15E-11,1.22E-13,-0.0658,0.0045,-0.0262,0.0106,2.079,0.019
5171.93,5.36E-11,9.67E-14,0.0319,0.002,-0.066,0.0032,2.135,0.003
5172.96,6.50E-11,1.24E-13,-0.0317,0.0038,-0.1047,0.0028,2.155,0.003
5173.94,6.32E-11,6.84E-14,-0.0176,0.0041,-0.1925,0.0028,2.102,0.003
5174.89,4.68E-11,1.93E-13,0.033,0.0077,-0.167,0.0157,2.099,0.01
5177.94,4.79E-11,1.28E-13,0.2092,0.0145,-0.0784,0.0117,2.136,0.008
5179.92,4.68E-11,1.55E-13,0.2139,0.0147,-0.0557,0.0084,2.135,0.008
5185.88,3.22E-11,1.06E-13,0.0393,0.0038,0.1369,0.0105,2.203,0.006
5187.9,3.99E-11,4.54E-14,-0.0872,0.0033,-0.0608,0.0024,2.184,0.005
5188.9,3.65E-11,3.43E-14,-0.0882,0.0085,-0.0088,0.0018,2.203,0.003
5189.94,4.30E-11,6.52E-14,-0.1431,0.0069,-0.0251,0.003,2.165,0.003
5191.89,3.07E-11,2.36E-13,-0.0492,0.003,-0.0666,0.0001,2.32,0.038
5210.95,2.43E-11,1.11E-13,0.091,0.0037,-0.0073,0.0073,2.132,0.006
5215.92,2.46E-11,2.77E-13,-0.0024,0.0543,0.0478,0.0229,2.121,0.014
5218.94,1.86E-11,1.73E-13,0.067,0.0197,0.0294,0.0607,2.409,0.07
5219.97,1.93E-11,1.85E-13,0.0805,0.0161,0.0347,0.0319,2.105,0.013
5220.95,2.01E-11,1.19E-13,0.0232,0.0133,-0.0303,0.0043,2.111,0.015
5221.92,2.07E-11,1.07E-13,0.1052,0.0314,0.0056,0.0174,2.112,0.007
5222.91,2.00E-11,9.79E-14,0.1189,0.0123,0.0087,0.0066,2.115,0.006
5224.92,1.57E-11,1.40E-13,0.0662,0.0074,-0.0473,0.0193,1.968,0.016
